description,price,link,company_name,product_name,ram,screen_size,storage,color,weight,operating_system,screen_type,processor_generation
"MSI Modern 15 H, Intel 13th Gen. i7-13700H, 40CM FHD 60Hz Laptop(16GB/1TB NVMe SSD/Windows 11 Home/MSO 2021/Intel Iris Xe Graphics/Classic Black/1.9Kg), C13M-217IN","69,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNTc3ODQ0OTMyNzM2MDA6MTczNTM2ODkxNTpzcF9idGY6MzAwNDEyMjExNzgxNTMyOjowOjo&url=%2FMSI-i7-13700H-Windows-Graphics-C13M-217IN%2Fdp%2FB0D9LVFBDB%2Fref%3Dsr_1_126_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.-uAisiGOj4xgR-oZsPwTVO_i8BBjTCIV1n0kE56ZgAVJ4Qv-knvY9yjtKjubNrhD4n7WD6dGawBtZVH7SnDdttsjaj196Ejcf31zjKtbZheVt5Z3yIp5gP6kD9qcl60FRkbYoBYEN18FSCkXhU9Wn7htWqypXM7feOwuUCmcyyDJGQyiAglj7b9EDjPAsi6LFlIr6RNM3Pzk6z8Bcz7F0shkNUre4-w8iHXrCbAAcEwOO6nLMOfr73lb9ZHJwjckSDpH_UjkfwGGZewo-fOLwgXAq2Nzf-7e4VarlnNc45M.KUQxiTqKD92dkXPRlB2A8NhdKTELba0cptSs4j83gws%26dib_tag%3Dse%26keywords%3Dlaptop%2BMSI%26nsdOptOutParam%3Dtrue%26qid%3D1735368915%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-126-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,MSI,Inspiron,4GB RAM,15.6,256GB SSD,Black,2.0 Kg,Windows 11,IPS,13th Gen
"MSI Katana 17, Intel Core i7-13700H, 44CM QHD 240Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4070, GDDR 8GB/Black/2.6Kg), B13VGK-1231IN","1,27,990",https://amazon.in//MSI-i7-13700H-Windows-GeForce-B13VGK-1231IN/dp/B0CXDXNKCN/ref=sr_1_37?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.CDRYHihrOEKRijstszwppAUJcwrq8sTDc6klQziM2fFnP0iSZL2SdOJBPZLqS3eAoELH9h9kpCPtujwdNdGVK0jvwOEhIV1PjaaoQ4_B774xAEe97xXotjyqPVPCdlhek_zaF-MxfSLgy0QKYh-Uw7FjlDi9GxaRSGV021xm4BmJBbrNfgRhIrbq8R0Qi8o9TeVMpsnQAflWVONcnMklYmdP50byAok5z1teaG3T6m_cT50IS_foW5VyLwlsRLaZxoIh4orqhfi0dFzhm2GjVsjpMgb8fThmgudHTci8Yny-6diSK0mf-RHVGkFzaXRFFYsn4Sfb_3lzMqkRxHC9B1yf8NqNC6xDKvUYx2ZKgXE.kYKXsRB4S-lOjXKe3WKacdK4f7CpynrNcrOFJUfPAME&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368901&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-37,MSI,XPS,16GB RAM,15.6,256GB SSD,Black,1.5 Kg,Windows 11,IPS,Intel 11th Gen
"MSI Pulse 17 AI, Intel Core Ultra 9 185H, Built-in AI, 43CM 16:10 QHD+ 240Hz Gaming Laptop(32GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4070,8GB GDDR6 /Core Black/2.8Kg), C1VGKG-030IN","1,84,990",https://amazon.in//MSI-Pulse-Intel-Ultra-Built/dp/B0CXF2SJ22/ref=sr_1_123?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-123,MSI,Latitude,4GB RAM,14.0,512GB SSD,Black,1.3 Kg,Windows 11,OLED,Intel 11th Gen
"MSI GF63 Intel Core i5 11th Gen 11260H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/60 Hz) GF63 Thin 11UCX-1496IN Gaming Laptop (15.6 Inch, Black, 1.86 Kg)","51,990",https://amazon.in//MSI-GF63-Intel-Core-11260H/dp/B0D45NW3Y5/ref=sr_1_125?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-125,MSI,Alienware,8GB RAM,16.0,512GB SSD,Black,1.86 Kg,Windows 11,VA,11th Gen
"MSI Modern 15 H AI, Intel 1st Gen. Ultra 7 155H,Built-in AI, 40CM Laptop(16GB/512GB NVMe SSD/Windows 11 Home/MOS 2021/Intel Arc/Classic Black/1.9Kg), C1MG-048IN","66,990",https://amazon.in//MSI-Modern-Windows-Classic-C1MG-048IN/dp/B0D3WH8NJL/ref=sr_1_127?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-127,MSI,G-Series,8GB RAM,16.0,256GB SSD,Black,2.2 Kg,Windows 11,TN,11th Gen
"MSI Bravo 15 AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX6550M/144 Hz) Bravo 15 B7ED-012IN Gaming Laptop (15.6 inch, Black, 2.35 Kg)","50,990",https://amazon.in//MSI-Bravo-15-Ryzen-7535HS/dp/B0D7N1T6YN/ref=sr_1_128?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-128,MSI,Latitude,4GB RAM,15.6,512GB SSD,Black,2.35 Kg,Windows 11,VA,Intel 11th Gen
"MSI Modern 15 H AI, Intel 1st Gen. Ultra 5 125H,Built-in AI, 40CM Laptop(16GB/512GB NVMe SSD/Windows 11 Home/MSO 2021/Intel Arc/Classic Black/1.9Kg), C1MG-049IN","58,990",https://amazon.in//MSI-Modern-Windows-Classic-C1MG-049IN/dp/B0D3W6WTPW/ref=sr_1_129?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-129,MSI,Alienware,8GB RAM,16.0,256GB SSD,Black,1.3 Kg,Windows 11,IPS,11th Gen
"MSI Modern 15 H AI, Intel 1st Gen. Ultra 5 125H,Built-in AI, 40CM Laptop(8GB/512GB NVMe SSD/Windows 11 Home/Intel Arc/Classic Black/1.9Kg), C1MG-050IN","55,990",https://amazon.in//MSI-Modern-Windows-Classic-C1MG-050IN/dp/B0D2KR14GD/ref=sr_1_130?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-130,MSI,Inspiron,4GB RAM,14.0,512GB SSD,Black,1.7 Kg,Windows 11,IPS,Intel 11th Gen
"MSI Modern 15, Intel 12th Gen. i7-1255U, 38CM FHD 60Hz Laptop(16GB/512GB NVMe SSD/Windows 11 Home/MSO 2021/Intel Iris Xe Graphics/Classic Black/1.7Kg), B12MO-1006IN","56,990",https://amazon.in//MSI-i7-1255U-Windows-Graphics-B12MO-1006IN/dp/B0D8WK24Y6/ref=sr_1_131?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-131,MSI,Inspiron,16GB RAM,14.0,256GB SSD,Black,2.0 Kg,Windows 11,OLED,12th Gen
"MSI Modern 15 H AI, Intel 1st Gen. Ultra 7 155H,Built-in AI, 40CM Laptop(16GB/512GB NVMe SSD/Windows 11 Home/Intel Arc/Classic Black/1.9Kg), C1MG-046IN","65,990",https://amazon.in//MSI-Modern-Windows-Classic-C1MG-046IN/dp/B0D3WKPGB1/ref=sr_1_133?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-133,MSI,Alienware,4GB RAM,14.0,256GB SSD,Black,1.3 Kg,Windows 11,TN,Intel 11th Gen
"MSI Modern 15 H AI, Intel 1st Gen. Ultra 7 155H,Built-in AI, 40CM Laptop(16GB/512GB NVMe SSD/Windows 11 Home/MOS 2021/Intel Arc/Classic Black/1.9Kg), C1MG-048IN","66,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5ODk3OTI2NTU2NTU3ODQ6MTczNTM2ODkyMTpzcF9tdGY6MzAwNDEyMjExNzgxNjMyOjowOjo&url=%2FMSI-Modern-Windows-Classic-C1MG-048IN%2Fdp%2FB0D3WH8NJL%2Fref%3Dsr_1_135_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xWIDq_jr39E3epmjHkV-HEc.K3GWMCWA-Gfi57Pw1FlfE4QdkqEa1d4bM87MqGiKXWs%26dib_tag%3Dse%26keywords%3Dlaptop%2BMSI%26nsdOptOutParam%3Dtrue%26qid%3D1735368921%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-135-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,MSI,Latitude,4GB RAM,16.0,256GB SSD,Black,1.5 Kg,Windows 11,IPS,Intel 11th Gen
"MSI Creator Z16 HX Studio, Intel 13th Gen. i7-13700HX,41CM QHD+ 120Hz Creator Laptop (32GB/1TB NVMe SSD/Windows 11 Pro/NVIDIA GeForce RTX 4060, GDDR6 8GB/Lunar Grey/2.35Kg), B13VFTO-215IN","2,34,990",https://amazon.in//MSI-Creator-i7-13700HX-Windows-B13VFTO-215IN/dp/B0CD7JYBD8/ref=sr_1_138?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-138,MSI,Inspiron,8GB RAM,15.6,512GB SSD,Silver,1.8 Kg,Windows 11,VA,13th Gen
"MSI Commercial 14 H, Intel 13th Gen. i7 13620H,36CM Laptop(16GB/1TB NVMe SSD/Windows 11 Pro/Intel UHD Graphics/Solid Gray/1.6Kg), A13MG-070IN","97,990",https://amazon.in//MSI-Commercial-13620H-Windows-A13MG-070IN/dp/B0D22M8DB2/ref=sr_1_141?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-141,MSI,G-Series,8GB RAM,15.6,256GB SSD,Silver,2.3 Kg,Windows 11,VA,13th Gen
"MSI Pulse 17, Intel Core i7-13700H, 43CM FHD 144Hz Gaming Laptop (8GBx2/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4070, 8GB GDDR6/Titanium Gray/2.7Kg), B13VGK-252IN","1,36,999",https://amazon.in//MSI-i7-13700H-Windows-Titanium-B13VGK-252IN/dp/B0BWK3MQBR/ref=sr_1_142?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-142,MSI,Latitude,16GB RAM,14.0,256GB SSD,Silver,2.4 Kg,Windows 11,TN,9th Gen
"MSI Katana GF66, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA RTX 3050 4GB GDDR6/Black/2.25Kg), 12UCOK-693IN","91,500",https://amazon.in//MSI-Katana-12UCOK-Gaming-Laptop/dp/B09XX2G3ND/ref=sr_1_143?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-143,MSI,Alienware,8GB RAM,15.6,256GB SSD,Black,2.0 Kg,Windows 11,IPS,12th Gen
"MSI Summit 16 AI Evo, Intel 1st Gen. Ultra 7 155H,Built-in AI, 41CM Laptop(32GB/1TB NVMe SSD/Windows 11 Home/Intel Arc/Ink Black/2.1Kg), A1MTG-025IN","1,39,990",https://amazon.in//MSI-Summit-Built-Windows-A1MTG-025IN/dp/B0D2HYZPFP/ref=sr_1_144?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-144,MSI,Alienware,4GB RAM,14.0,512GB SSD,Black,1.9 Kg,Windows 11,VA,Intel 11th Gen
"MSI Pulse 16 AI, Intel Core Ultra 9 185H,Built-in AI, 41CM 16:10 QHD+ 240Hz Gaming Laptop(32GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4070, Core Black/2.8Kg), C1VGKG-028IN","2,06,368",https://amazon.in//MSI-Pulse-Intel-Ultra-Built/dp/B0CVL6TCLN/ref=sr_1_148?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xbKXCnrKT0P0njJonwm0bAACDaui65lybhaYCeIiGm9FRByQui7ZYbCnqYH6ZdbKmCh2RBExuwFPMqXYUxtfkN8.xjMxsVZL_aM3Q21IzmChQaGylOhJ8_wp3K3d1GUZPvo&dib_tag=se&keywords=laptop+MSI&nsdOptOutParam=true&qid=1735368921&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-148,MSI,G-Series,4GB RAM,14.0,256GB SSD,Black,2.3 Kg,Windows 11,IPS,11th Gen
"MSI Raider GE78 HX, Intel 14th Gen. i9-14900HX, 43.18CM QHD+ 240Hz Gaming Laptop (32GB/2TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4090, GDDR6 16GB/Core Black/3.1Kg), 14VIG-804IN","3,47,290",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5ODk3OTI2NTU2NTU3ODQ6MTczNTM2ODkyMTpzcF9idGY6MzAwNDA0Mjk0Mjk1MzMyOjowOjo&url=%2FMSI-i9-14900HX-43-18CM-Windows-14VIG-804IN%2Fdp%2FB0D1FSGSSD%2Fref%3Dsr_1_150_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.SuK6DFGCjfUKci_XM-uMXnBTm1GVNzJSEqY9EGJRbXONynbBzqFpWO8pVplVHe7JTFxd7epb9uW4sgb0KwGjRQwKLctvPX-ZzkV5VSfjAxB8TRYcfseh5M2H3Wq6pcQK3VyFQeVs4VGLb_tXUDOa4q-kUWO6Pg28cEX9D8UpGIJgVn2FBWCscjNVGLOreP0_0jHasEFK9ChpY6wAau8UMy3nrTq0HwM29Q92MObTGjXc18G5V0zcJ28t3aaGOvBd8j1MDqQXo5o2aBZwG967xWIDq_jr39E3epmjHkV-HEc.K3GWMCWA-Gfi57Pw1FlfE4QdkqEa1d4bM87MqGiKXWs%26dib_tag%3Dse%26keywords%3Dlaptop%2BMSI%26nsdOptOutParam%3Dtrue%26qid%3D1735368921%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-150-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,MSI,Inspiron,4GB RAM,14.0,512GB SSD,Black,2.3 Kg,Windows 11,OLED,14th Gen
